Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
AFG,Islamic State of Afghanistan,Low income,South Asia,IDA,HIPC,Afghan afghani,1979,"Demographic and Health Survey, 2015","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2016,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),PPPs are imputed for 2011 and 2017 based on a regression model,BPM6,Estimate,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016/17",,,,2018,2000,AF,AF,Afghanistan,Afghanistan
ALB,Republic of Albania,Upper middle income,Europe & Central Asia,IBRD,,Albanian lek,2020 (expected),"Demographic and Health Survey, 2017/18",,Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2012",Yes,2012,2013,2018,2006,AL,AL,Albania,Albania
DZA,People's Democratic Republic of Algeria,Lower middle income,Middle East & North Africa,IBRD,,Algerian dinar,2020 (expected),"Multiple Indicator Cluster Survey, 2018/19",,Original chained constant price data are rescaled.,2012,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2011",,,2010,2017,2012,DZ,DZ,Algeria,Algeria
AGO,People's Republic of Angola,Lower middle income,Sub-Saharan Africa,IBRD,,Angolan kwanza,2014,"Demographic and Health Survey, 2015/16","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2002,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2008/09",,,,2018,2005,AO,AO,Angola,Angola
ARG,Argentine Republic,Upper middle income,Latin America & Caribbean,IBRD,,Argentine peso,2020 (expected),"Multiple Indicator Cluster Survey, 2019/20","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2004,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),2017,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2016",Yes,2008,2002,2018,2011,AR,AR,Argentina,Argentina
ARM,Republic of Armenia,Upper middle income,Europe & Central Asia,IBRD,,Armenian dram,2020 (expected),"Demographic and Health Survey, 2015/16",,Original chained constant price data are rescaled.,2012,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2016",Yes,2014,,2018,2012,AM,AM,Armenia,Armenia
AZE,Republic of Azerbaijan,Upper middle income,Europe & Central Asia,IBRD,,New Azeri manat,2019,"Demographic and Health Survey, 2006",,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2012",Yes,2015,2013,2018,2012,AZ,AZ,Azerbaijan,Azerbaijan
BGD,People's Republic of Bangladesh,Lower middle income,South Asia,IDA,,Bangladeshi taka,2011,"Multiple Indicator Cluster Survey, 2019","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2016,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2008,2011,2015,2008,BD,BD,Bangladesh,Bangladesh
BLR,Republic of Belarus,Upper middle income,Europe & Central Asia,IBRD,,Belarusian rubel,2019,"Multiple Indicator Cluster Survey, 2019","Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Original chained constant price data are rescaled.,2014,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,,2014,2018,2013,BY,BY,Belarus,Belarus
BLZ,Belize,Upper middle income,Latin America & Caribbean,IBRD,,Belize dollar,2020 (expected),"Multiple Indicator Cluster Survey, 2015/16",,2000,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Labor force survey (LFS), 1999",,2011,1992,2018,2000,BZ,BZ,Belize,Belize
BEN,Republic of Benin,Lower middle income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2013,"Demographic and Health Survey, 2017/18",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,,1981,2018,2001,BJ,BJ,Benin,Benin
BTN,Kingdom of Bhutan,Lower middle income,South Asia,IDA,,Bhutanese ngultrum,2017,"Multiple Indicator Cluster Survey, 2010",,2000,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2017",,"2009. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",,2012,2008,BT,BT,Bhutan,Bhutan
BOL,Plurinational State of Bolivia,Lower middle income,Latin America & Caribbean,IBRD,HIPC,Bolivian Boliviano,2012,"Demographic and Health Survey, 2008",,1990,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2013,2010,2018,2009,BO,BO,Bolivia,Bolivia
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,IBRD,,Bosnia and Herzegovina convertible mark,2013,"Multiple Indicator Cluster Survey, 2011/12",,Original chained constant price data are rescaled.,2015,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2015",Yes,,2011,2018,2013,BA,BA,Bosnia and Herzegovina,Bosnia and Herzegovina
BWA,Republic of Botswana,Upper middle income,Sub-Saharan Africa,IBRD,,Botswana pula,2011,Family Health Survey 2007-2008,,2016,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015/16",,2015,2013,2018,2000,BW,BW,Botswana,Botswana
BRA,Federative Republic of Brazil,Upper middle income,Latin America & Caribbean,IBRD,,Brazilian real,2020 (expected),"National Health Survey, 2013",,Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Preliminary,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Integrated household survey (IHS), 2016",Yes,2006,2013,2018,2010,BR,BR,Brazil,Brazil
BGR,Republic of Bulgaria,Upper middle income,Europe & Central Asia,IBRD,,Bulgarian lev,2011,Multitopic Household Survey 2007,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,2014,2018,2013,BG,BG,Bulgaria,Bulgaria
BFA,Burkina Faso,Low income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2019,"Malaria Indicator Survey, 2017/18",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,2006-2010,1983,2018,2005,BF,BF,Burkina Faso,Burkina Faso
BDI,Republic of Burundi,Low income,Sub-Saharan Africa,IDA,HIPC,Burundi franc,2008,"Demographic and Health Survey, 2016/17","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,,2012,2018,2000,BI,BI,Burundi,Burundi
CPV,Republic of Cabo Verde,Lower middle income,Sub-Saharan Africa,Blend,,Cabo Verde escudo,2020 (expected),"Demographic and Health Survey, 2005",,2007,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Income survey (IS), 2015",Yes,2015,,2018,2001,CV,CV,Cabo Verde,Cabo Verde
KHM,Kingdom of Cambodia,Lower middle income,East Asia & Pacific,IDA,,Cambodian riel,2019,"Demographic and Health Survey, 2020","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1963-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2000,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2012",,2013,2000,2016,2006,KH,KH,Cambodia,Cambodia
CMR,Republic of Cameroon,Lower middle income,Sub-Saharan Africa,Blend,HIPC,Central African CFA franc,2020 (expected),"Malaria Indicator Survey, 2020/21",,2016,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2014",,,2002,2017,2000,CM,CM,Cameroon,Cameroon
CAF,Central African Republic,Low income,Sub-Saharan Africa,IDA,HIPC,Central African CFA franc,2003,"Multiple Indicator Cluster Survey, 2018/19",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2008",,,1993,2017,2005,CF,CF,Central African Republic,Central African Republic
TCD,Republic of Chad,Low income,Sub-Saharan Africa,IDA,HIPC,Central African CFA franc,2009,"Multiple Indicator Cluster Survey, 2019",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Preliminary,,,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2011",,,,1995,2005,TD,TD,Chad,Chad
CHN,People's Republic of China,Upper middle income,East Asia & Pacific,IBRD,,Chinese yuan,2020 (expected),"National Sample Survey on Population Changes, 2014","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2015",,2016,2007,2018,2013,CN,CN,China,China
COL,Republic of Colombia,Upper middle income,Latin America & Caribbean,IBRD,,Colombian peso,2018,"Demographic and Health Survey, 2015",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2011, and Rolling surveys (annual estimation) after 2016",BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",,2015,2012,2018,2008,CO,CO,Colombia,Colombia
COM,Union of the Comoros,Lower middle income,Sub-Saharan Africa,IDA,HIPC,Comorian franc,2017,"Demographic and Health Survey, 2012",,2007,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2013",,,,2013,1999,KM,KM,Comoros,Comoros
COD,Democratic Republic of the Congo,Low income,Sub-Saharan Africa,IDA,HIPC,Congolese franc,,"Multiple Indicator Cluster Survey, 2017/18","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"1-2-3 survey (1-2-3), 2012/13",,,,,2005,CD,ZR,"Congo, Dem. Rep.",Dem. Rep. Congo
COG,Republic of Congo,Lower middle income,Sub-Saharan Africa,Blend,HIPC,Central African CFA franc,2020 (expected),"Multiple Indicator Cluster Survey, 2014/15",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",,2014-2015,2009,2017,2002,CG,CG,"Congo, Rep.",Congo
CRI,Republic of Costa Rica,Upper middle income,Latin America & Caribbean,IBRD,,Costa Rican colon,2011,"Multiple Indicator Cluster Survey, 2018",,Original chained constant price data are rescaled.,2017,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2011, and Rolling surveys (annual estimation) after 2016",BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,2014,2013,2018,2013,CR,CR,Costa Rica,Costa Rica
CIV,Republic of Côte d'Ivoire,Lower middle income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2020 (expected),"Multiple Indicator Cluster Survey, 2016",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015",,2014-2015,1997,2018,2005,CI,CI,Côte d'Ivoire,Côte d'Ivoire
DJI,Republic of Djibouti,Lower middle income,Middle East & North Africa,IDA,,Djibouti franc,2020 (expected),"Multiple Indicator Cluster Survey, 2006",,2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2017",,,,2009,2000,DJ,DJ,Djibouti,Djibouti
DMA,Commonwealth of Dominica,Upper middle income,Latin America & Caribbean,Blend,,East Caribbean dollar,2011,,,2006,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),,Yes,2015,,2012,2010,DM,DM,Dominica,Dominica
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean,IBRD,,Dominican peso,2020 (expected),"Multiple Indicator Cluster Survey, 2019",,Original chained constant price data are rescaled.,2007,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2015,1984,2017,2010,DO,DO,Dominican Republic,Dominican Republic
EAP,East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,4E,4E,East Asia & Pacific (excluding high income),East Asia & Pacific (excluding high income)
ECU,Republic of Ecuador,Upper middle income,Latin America & Caribbean,IBRD,,U.S. dollar,2020 (expected),"Reproductive Health Survey, 2004",,2007,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2018",,,2008,2018,2005,EC,EC,Ecuador,Ecuador
EGY,Arab Republic of Egypt,Lower middle income,Middle East & North Africa,IBRD,,Egyptian pound,2017,"Health Issues Survey, 2015","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2016/17,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2015",Yes,2009-2010,2012,2018,2010,EG,EG,"Egypt, Arab Rep.",Egypt
SLV,Republic of El Salvador,Lower middle income,Latin America & Caribbean,IBRD,,U.S. dollar,2007,"Multiple Indicator Cluster Survey, 2014",,Original chained constant price data are rescaled.,2014,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,2007-2008,1998,2018,2005,SV,SV,El Salvador,El Salvador
ERI,State of Eritrea,Low income,Sub-Saharan Africa,IDA,HIPC,Eritrean nakfa,,"Demographic and Health Survey, 2002","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1992-1997. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2011,,Country uses the 1968 System of National Accounts methodology,Value added at basic prices (VAB),PPPs are imputed for 2011 based on a regression model,BPM5 (Converted into BPM6 by IMF),Estimate,,,,"Priority survey (PS), 1993",,,2012,2003,2004,ER,ER,Eritrea,Eritrea
SWZ,Kingdom of Eswatini,Lower middle income,Sub-Saharan Africa,IBRD,,Swazi lilangeni,2017,"Multiple Indicator Cluster Survey, 2014",Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.,2011,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2009/10",,,2011,2017,2000,SZ,SZ,Eswatini,Eswatini
ETH,Federal Democratic Republic of Ethiopia,Low income,Sub-Saharan Africa,IDA,HIPC,Ethiopian birr,2020 (expected),"Socioeconomic Survey 2018-2019, Interim Demographic and Health Survey, 2019","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2015/2016,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2015/16",,,2014,2016,2016,ET,ET,Ethiopia,Ethiopia
ECA,Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,7E,7E,Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income)
FJI,Republic of Fiji,Upper middle income,East Asia & Pacific,Blend,,Fijian dollar,2017,,,2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2013",Yes,2009,2011,2018,2005,FJ,FJ,Fiji,Fiji
