Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
GAB,Gabonese Republic,Upper middle income,Sub-Saharan Africa,IBRD,,Central African CFA franc,2013,"Demographic and Health Survey, 2019/20",,2001,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS)/Integrated household survey (IHS), 2017",,,1995,2009,2005,GA,GA,Gabon,Gabon
GMB,Republic of The Gambia,Low income,Sub-Saharan Africa,IDA,HIPC,Gambian dalasi,2013,"Demographic and Health Survey, 2019/20",,2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015",,2011-2012,2004,2018,2000,GM,GM,"Gambia, The",The Gambia
GEO,Georgia,Upper middle income,Europe & Central Asia,IBRD,,Georgian lari,2014,"Multiple Indicator Cluster Survey, 2018","Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,2014,2013,2018,2008,GE,GE,Georgia,Georgia
GHA,Republic of Ghana,Lower middle income,Sub-Saharan Africa,IDA,HIPC,New Ghanaian cedi,2020 (expected),"Malaria Indicator Survey, 2019","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2017",,,2003,2018,2000,GH,GH,Ghana,Ghana
GRD,Grenada,Upper middle income,Latin America & Caribbean,Blend,,East Caribbean dollar,2011,"Reproductive Health Survey, 1985",,2006,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),,Yes,2012,,2009,2014,GD,GD,Grenada,Grenada
GTM,Republic of Guatemala,Upper middle income,Latin America & Caribbean,IBRD,,Guatemalan quetzal,2018,"Demographic and Health Survey, 2014/15","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1985-2003. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Original chained constant price data are rescaled.,2013,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2014",Yes,,1988,2017,2006,GT,GT,Guatemala,Guatemala
GIN,Republic of Guinea,Low income,Sub-Saharan Africa,IDA,HIPC,Guinean franc,2014,"Malaria Indicator Survey, 2021",,Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",,,,2015,2001,GN,GN,Guinea,Guinea
GNB,Republic of Guinea-Bissau,Low income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2009,"Multiple Indicator Cluster Survey, 2018/19",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",,,,2005,2000,GW,GW,Guinea-Bissau,Guinea-Bissau
GUY,Co-operative Republic of Guyana,Upper middle income,Latin America & Caribbean,IDA,HIPC,Guyana dollar,2012,"Multiple Indicator Cluster Survey, 2019/20",,2012,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),2017,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 1998",,,,2018,2010,GY,GY,Guyana,Guyana
HTI,Republic of Haiti,Lower middle income,Latin America & Caribbean,IDA,HIPC,Haitian gourde,2003,"Demographic and Health Survey, 2016/17","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2011/12,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2012",,2008-2009,,,2009,HT,HT,Haiti,Haiti
HND,Republic of Honduras,Lower middle income,Latin America & Caribbean,IDA,HIPC,Honduran lempira,2013,"Multiple Indicator Cluster Survey, 2019","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-1989. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2000,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2017",,,1996,2017,2003,HN,HN,Honduras,Honduras
IDX,IDA only,,,,,,,,IDA only group aggregate.,,,,,,,,,,,,,,,,,XI,XI,IDA only,IDA only
IDA,IDA total,,,,,,,,IDA total group aggregate (includes IDA only and IDA blend).,,,,,,,,,,,,,,,,,XG,XG,IDA total,IDA total
IND,Republic of India,Lower middle income,South Asia,IBRD,,Indian rupee,2011,"Demographic and Health Survey, 2019/20","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 31). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2011/12,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2011/12",,2010-2011,2014,2018,2010,IN,IN,India,India
IDN,Republic of Indonesia,Lower middle income,East Asia & Pacific,IBRD,,Indonesian rupiah,2020 (expected),"Demographic and Health Survey, 2017; Indonesia Young Adult Reproductive Health Survey , 2017",Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.,2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",,2013,2013,2018,2000,ID,ID,Indonesia,Indonesia
IRN,Islamic Republic of Iran,Lower middle income,Middle East & North Africa,IBRD,,Iranian rial,2016,"Iran’s Multiple Indicator Demographic and Health Survey, 2010","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20).  

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1972-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2016/17,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2016",Yes,2014,2014,2017,2004,IR,IR,"Iran, Islamic Rep.",Iran
IRQ,Republic of Iraq,Upper middle income,Middle East & North Africa,IBRD,,Iraqi dinar,1997,"Multiple Indicator Cluster Survey, 2018",,2007,,Country uses the 1968 System of National Accounts methodology,Value added at producer prices (VAP),Annual estimation for 2011-2017,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2012",,2011-2012,2011,2014,,IQ,IQ,Iraq,Iraq
JAM,Jamaica,Upper middle income,Latin America & Caribbean,IBRD,,Jamaican dollar,2011,"Multiple Indicator Cluster Survey, 2011",,2007,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2012",,2007,1996,2017,2007,JM,JM,Jamaica,Jamaica
JOR,Hashemite Kingdom of Jordan,Upper middle income,Middle East & North Africa,IBRD,,Jordanian dinar,2015,"Demographic and Health Survey, 2017/18",,2016,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Annual estimation for 2011-2017,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2010",,2007,2013,2018,2005,JO,JO,Jordan,Jordan
KAZ,Republic of Kazakhstan,Upper middle income,Europe & Central Asia,IBRD,,Kazakh tenge,2020 (expected),"Multiple Indicator Cluster Survey, 2015",,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2017",,2006-2007,2013,2018,2010,KZ,KZ,Kazakhstan,Kazakhstan
KEN,Republic of Kenya,Lower middle income,Sub-Saharan Africa,Blend,,Kenyan shilling,2009,"Malaria Indicator Survey, 2020",Fiscal year end: June 30; reporting period for national accounts data: CY.,2016,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015/16",,,2013,2018,2010,KE,KE,Kenya,Kenya
XKX,Republic of Kosovo,Upper middle income,Europe & Central Asia,IDA,,Euro,2011,"Multiple Indicator Cluster Survey, 2019/20",,Original chained constant price data are rescaled.,2008,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),PPPs are imputed for 2011 and 2017 based on a regression model,BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2015",,2014,,,,XK,XK,Kosovo,Kosovo
KGZ,Kyrgyz Republic,Lower middle income,Europe & Central Asia,IDA,HIPC,Kyrgyz som,2020 (expected),"Multiple Indicator Cluster Survey, 2018",,Original chained constant price data are rescaled.,2010,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2015",Yes,,2012,2018,2006,KG,KG,Kyrgyz Republic,Kyrgyz Republic
LAO,Lao People's Democratic Republic,Lower middle income,East Asia & Pacific,IDA,,Lao kip,2015,"Multiple Indicator Cluster Survey, 2017","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2012,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2012",,2010-2011,1999,2016,2005,LA,LA,Lao PDR,Lao PDR
LAC,Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,XJ,XJ,Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income)
LDC,Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,XL,XL,Least developed countries: UN classification,Least developed countries: UN classification
LBN,Lebanese Republic,Lower middle income,Middle East & North Africa,IBRD,,Lebanese pound,1943,"Family Health Survey, 2004","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1984-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),PPPs are imputed for 2011 and 2017 based on a regression model,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2011/12",Yes,2010,2007,2018,2005,LB,LB,Lebanon,Lebanon
LSO,Kingdom of Lesotho,Lower middle income,Sub-Saharan Africa,IDA,,Lesotho loti,2016,"Multiple Indicator Cluster Survey, 2018",Fiscal year end: March 31; reporting period for national accounts data: CY.,2012,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2010",,2010,1985,2017,2000,LS,LS,Lesotho,Lesotho
LBR,Republic of Liberia,Low income,Sub-Saharan Africa,IDA,HIPC,Liberian dollar,2020 (expected),"Demographic and Health Survey, 2019/20",National accounts data are provided in the US dollar.,2016,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2014",,,,,2000,LR,LR,Liberia,Liberia
LMY,Low & middle income,,,,,,,,"Low and middle-income group aggregate. Low and middle-income economies are those in which 2021 GNI per capita was less than $13,205.",,,,,,,,,,,,,,,,,XO,XO,Low & middle income,Low & middle income
LIC,Low income,,,,,,,,"Low income group aggregate. Low-income economies are those in which 2021 GNI per capita was $1,085 or less.",,,,,,,,,,,,,,,,,XM,XM,Low income,Low income
LMC,Lower middle income,,,,,,,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2021 GNI per capita was between $1,086 and $4,255.",,,,,,,,,,,,,,,,,XN,XN,Lower middle income,Lower middle income
MDG,Republic of Madagascar,Low income,Sub-Saharan Africa,IDA,HIPC,Malagasy ariary,2018,"Demographic and Health Survey, 2021",,2007,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2012",,,2006,2018,2000,MG,MG,Madagascar,Madagascar
MWI,Republic of Malawi,Low income,Sub-Saharan Africa,IDA,HIPC,Malawi kwacha,2018,"Fifth Integrated Household Survey 2019-2020; Multiple Indicator Cluster Survey, 2019/20",,2017,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2006-2007,2012,2017,2005,MW,MW,Malawi,Malawi
MDV,Republic of Maldives,Upper middle income,South Asia,IDA,,Maldivian rufiyaa,2014,"Demographic and Health Survey, 2016/17",,2014,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2009/10",Yes,,,2018,2008,MV,MV,Maldives,Maldives
MLI,Republic of Mali,Low income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2020 (expected),"Demographic and Health Survey, 2018",,1999,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2009/10",,,,2017,2006,ML,ML,Mali,Mali
MRT,Islamic Republic of Mauritania,Lower middle income,Sub-Saharan Africa,IDA,HIPC,Mauritanian ouguiya,2013,"Demographic and Health Survey, 2019/20",National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya),2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2014",,,,2017,2005,MR,MR,Mauritania,Mauritania
MUS,Republic of Mauritius,Upper middle income,Sub-Saharan Africa,IBRD,,Mauritian rupee,2020 (expected),"World Health Survey, 2003",,2006,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2012",Yes,2014,2012,2018,2003,MU,MU,Mauritius,Mauritius
MEX,United Mexican States,Upper middle income,Latin America & Caribbean,IBRD,,Mexican peso,2020 (expected),"Multiple Indicator Cluster Survey, 2015",,2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2016",Yes,2007,2013,2018,2011,MX,MX,Mexico,Mexico
MNA,Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,XQ,XQ,Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income)
MIC,Middle income,,,,,,,,"Middle income group aggregate. Middle-income economies are those in which 2021 GNI per capita was between $1,086 and $13,205.",,,,,,,,,,,,,,,,,XP,XP,Middle income,Middle income
MDA,Republic of Moldova,Upper middle income,Europe & Central Asia,IBRD,,Moldovan leu,2014,"Multiple Indicator Cluster Survey, 2012","Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.",Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2017",Yes,2011,2012,2018,2007,MD,MD,Moldova,Moldova
MNG,Mongolia,Lower middle income,East Asia & Pacific,IBRD,,Mongolian tugrik,2020,"Multiple Indicator Cluster Survey, 2018","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1991-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2016",Yes,2011,2011,2018,2009,MN,MN,Mongolia,Mongolia
MNE,Montenegro,Upper middle income,Europe & Central Asia,IBRD,,Euro,2011,"Multiple Indicator Cluster Survey, 2018","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,,2018,2010,ME,ME,Montenegro,Montenegro
MAR,Kingdom of Morocco,Lower middle income,Middle East & North Africa,IBRD,,Moroccan dirham,2014,"Morocco National Survey on Population and Family Health, 2010/11",,2007,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2011, annual estimation for 2014-2017",BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2013",,,2013,2018,2010,MA,MA,Morocco,Morocco
MOZ,Republic of Mozambique,Low income,Sub-Saharan Africa,IDA,HIPC,New Mozambican metical,2017,"Malaria Indicator Survey, 2018",,2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2014",,2009-2010,1973,2018,2001,MZ,MZ,Mozambique,Mozambique
MMR,Republic of the Union of Myanmar,Lower middle income,East Asia & Pacific,IDA,,Myanmar kyat,2014,"Demographic and Health Survey, 2015/16","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	  

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2014. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2016,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015",,2010,,2018,2000,MM,MM,Myanmar,Myanmar
NPL,Nepal,Lower middle income,South Asia,IDA,,Nepalese rupee,2011,"Multiple Indicator Cluster Survey, 2019","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 14). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2010/11,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2010/11",,2011-2012,2011,2017,2006,NP,NP,Nepal,Nepal
