Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
NIC,Republic of Nicaragua,Lower middle income,Latin America & Caribbean,IDA,HIPC,Nicaraguan gold cordoba,2020 (expected),"Reproductive Health Survey, 2006/2007","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Original chained constant price data are rescaled.,2006,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2016",,2011,1985,2018,2011,NI,NI,Nicaragua,Nicaragua
NER,Republic of Niger,Low income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2012,"Demographic and Health Survey, 2017",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2014",,2004-2008,2002,2016,2005,NE,NE,Niger,Niger
NGA,Federal Republic of Nigeria,Lower middle income,Sub-Saharan Africa,Blend,,Nigerian naira,2020 (expected),"Living Standards Survey 2018-2019; General Household Survey, Panel 2018-2019","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1970-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2009/10",,"2007. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996,2018,2005,NG,NG,Nigeria,Nigeria
MKD,Republic of North Macedonia,Upper middle income,Europe & Central Asia,IBRD,,Macedonian denar,2020 (expected),"Multiple Indicator Cluster Survey, 2018/19",,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2017",Yes,2007,2010,2018,2007,MK,MK,North Macedonia,North Macedonia
PAK,Islamic Republic of Pakistan,Lower middle income,South Asia,Blend,,Pakistani rupee,2017,"Pakistan Maternal Mortality Survey
Other Data , 2019","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2015/16,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2014/15",,2010,2006,2018,2008,PK,PK,Pakistan,Pakistan
PNG,The Independent State of Papua New Guinea,Lower middle income,East Asia & Pacific,Blend,,Papua New Guinea kina,2020 (expected),"Demographic and Health Survey, 2016/18",,2013,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),2011 (Only for individual consumption expenditure by households),BPM5 (Converted into BPM6 by IMF),Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2009/10",,,1987,2012,2005,PG,PG,Papua New Guinea,Papua New Guinea
PRY,Republic of Paraguay,Upper middle income,Latin America & Caribbean,IBRD,,Paraguayan guarani,2012,"Multiple Indicator Cluster Survey, 2016","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1982-1988. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2017",,2008,2010,2018,2012,PY,PY,Paraguay,Paraguay
PER,Republic of Peru,Upper middle income,Latin America & Caribbean,IBRD,,Peruvian new sol,2017,"Continuous Demographic and Health Survey, 2014","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2007,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",,2012,2011,2018,2008,PE,PE,Peru,Peru
PHL,Republic of the Philippines,Lower middle income,East Asia & Pacific,IBRD,,Philippine peso,2020 (expected),"Demographic and Health Survey, 2017",,2018,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2015",Yes,2012,2012,2018,2009,PH,PH,Philippines,Philippines
RUS,Russian Federation,Upper middle income,Europe & Central Asia,IBRD,,Russian ruble,2020 (expected),"Russian Federation Reproductive Health Survey, 2011",,Original chained constant price data are rescaled.,2016,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Estimate,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2017",Yes,2016,2014,2018,2013,RU,RU,Russian Federation,Russia
RWA,Republic of Rwanda,Low income,Sub-Saharan Africa,IDA,HIPC,Rwandan franc,2012,"Demographic and Health Survey, 2019/20",,2017,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016/17",,"2008, 2013",1999,2016,2000,RW,RW,Rwanda,Rwanda
WSM,Samoa,Lower middle income,East Asia & Pacific,IDA,,Samoan tala,2020 (expected),"Multiple Indicator Cluster Survey, 2019/20","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2013,,Country uses the 1993 System of National Accounts methodology,Value added at producer prices (VAP),2011 (Only for individual consumption expenditure by households),BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2013",,2009,,2018,,WS,WS,Samoa,Samoa
STP,Democratic Republic of São Tomé and Principe,Lower middle income,Sub-Saharan Africa,IDA,HIPC,São Tomé and Principe dobra,2012,"Multiple Indicator Cluster Survey, 2019",National account data were adjusted to reflect the new banknote (1 new Dobra STN = 1000 old Dobra STD),2008,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2010",Yes,,,2018,1993,ST,ST,São Tomé and Principe,São Tomé and Principe
SEN,Republic of Senegal,Lower middle income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2013,"Continuous Demographic and Health Survey, 2017",,2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Priority survey (PS), 2011/12",,2013,2012,2018,2002,SN,SN,Senegal,Senegal
SRB,Republic of Serbia,Upper middle income,Europe & Central Asia,IBRD,,New Serbian dinar,2011,"Multiple Indicator Cluster Survey, 2019","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2016",Yes,2012,2014,2018,2013,RS,YF,Serbia,Serbia
SLE,Republic of Sierra Leone,Low income,Sub-Saharan Africa,IDA,HIPC,Sierra Leonean leone,2020,"Demographic and Health Survey, 2019",,2006,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2011",,,1993,2017,2005,SL,SL,Sierra Leone,Sierra Leone
SLB,Solomon Islands,Lower middle income,East Asia & Pacific,IDA,,Solomon Islands dollar,2019,"Solomon Islands Demographic and Health Survey, 2006/07",,2012,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),2011 (Only for individual consumption expenditure by households),BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2012/13",,,,2018,,SB,SB,Solomon Islands,Solomon Islands
SOM,Somali Democratic Republic,Low income,Sub-Saharan Africa,IDA,HIPC,Somali shilling,1987. Enumeration of settled population was in November 1986 and of nomads in February 1987.,"Multiple Indicator Cluster Survey, 2006","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1977-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2017,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),PPPs are imputed for 2017 based on a regression model,BPM5 (Converted into BPM6 by IMF),Actual,,,,,,,1986,,2003,SO,SO,Somalia,Somalia
ZAF,Republic of South Africa,Upper middle income,Sub-Saharan Africa,IBRD,,South African rand,2011,"Demographic and Health Survey, 2016",Fiscal year end: March 31; reporting period for national accounts data: CY.,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2014/15",,2007,2010,2018,2013,ZA,ZA,South Africa,South Africa
SAS,South Asia,,,,,,,,,,,,,,,,,,,,,,,,,8S,8S,South Asia,South Asia
LKA,Democratic Socialist Republic of Sri Lanka,Lower middle income,South Asia,IBRD,,Sri Lankan rupee,2012,"Demographic and Health Survey, 2006/07",,2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2016",Yes,2013-2014,2012,2017,2005,LK,LK,Sri Lanka,Sri Lanka
LCA,St. Lucia,Upper middle income,Latin America & Caribbean,Blend,,East Caribbean dollar,2020 (expected),"Multiple Indicator Cluster Survey, 2012",,2018,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2016",Yes,2007,1997,2017,2007,LC,LC,St. Lucia,St. Lucia
VCT,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean,Blend,,East Caribbean dollar,2012,,,2018,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),,Yes,,,2018,2013,VC,VC,St. Vincent and the Grenadines,St. Vincent and the Grenadines
SSA,Sub-Saharan Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,ZF,ZF,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (excluding high income)
SDN,Republic of the Sudan,Low income,Sub-Saharan Africa,IDA,HIPC,Sudanese pound,2020 (expected),"Multiple Indicator Cluster Survey, 2014","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2018-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1996,,Country uses the 1968 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Estimate,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2009",,,2001,2017,2011,SD,SD,Sudan,Sudan
SYR,Syrian Arab Republic,Low income,Middle East & North Africa,IDA,,Syrian pound,2004,"Multiple Indicator Cluster Survey, 2006","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2011-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2000,,Country uses the 1993 System of National Accounts methodology,Value added at producer prices (VAP),,BPM5 (Converted into BPM6 by IMF),Estimate,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2007",,,2005,2010,2005,SY,SY,Syrian Arab Republic,Syrian Arab Republic
TJK,Republic of Tajikistan,Lower middle income,Europe & Central Asia,IDA,,Tajik somoni,2020 (expected),"Demographic and Health Survey, 2017",,Original chained constant price data are rescaled.,2000,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Estimate,,,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2015",,2013,,,2006,TJ,TJ,Tajikistan,Tajikistan
TZA,United Republic of Tanzania,Lower middle income,Sub-Saharan Africa,IDA,HIPC,Tanzanian shilling,2012,"Malaria Indicator Survey, 2017",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2011/12",,2007-2008,2010,2018,2002,TZ,TZ,Tanzania,Tanzania
THA,Kingdom of Thailand,Upper middle income,East Asia & Pacific,IBRD,,Thai baht,2020 (expected),"Multiple Indicator Cluster Survey, 2019",Fiscal year end: September 30; reporting period for national accounts data: CY.,Original chained constant price data are rescaled.,2002,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2015",,2013,2011,2018,2007,TH,TH,Thailand,Thailand
TLS,Democratic Republic of Timor-Leste,Lower middle income,East Asia & Pacific,Blend,,U.S. dollar,2015,"Demographic and Health Survey, 2016",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),PPPs are imputed for 2011 and 2017 based on a regression model,,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2014/15",,,,2017,2004,TL,TP,Timor-Leste,Timor-Leste
TGO,Republic of Togo,Low income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2020 (expected),"Malaria Indicator Survey, 2017; Multiple Indicator Cluster Survey, 2017",,2016,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,2011-14,,2017,2002,TG,TG,Togo,Togo
TON,Kingdom of Tonga,Upper middle income,East Asia & Pacific,IDA,,Tongan pa'anga,2016,"Multiple Indicator Cluster Survey, 2019","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2016/17,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),2011 (Only for individual consumption expenditure by households),BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2009",,2015,1981,2014,,TO,TO,Tonga,Tonga
TUN,Republic of Tunisia,Lower middle income,Middle East & North Africa,IBRD,,Tunisian dinar,2014,"Multiple Indicator Cluster Survey, 2018",,2015,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2015",,,2010,2017,2011,TN,TN,Tunisia,Tunisia
TUR,Republic of Türkiye,Upper middle income,Europe & Central Asia,IBRD,,New Turkish lira,"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","Demographic and Health Survey, 2018",,Original chained constant price data are rescaled.,2009,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2016",Yes,,2014,2018,2008,TR,TR,Türkiye,Türkiye
TKM,Turkmenistan,Upper middle income,Europe & Central Asia,IBRD,,New Turkmen manat,2012,"Multiple Indicator Cluster Survey, 2019",,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),PPPs are imputed for 2011 and 2017 based on a regression model,BPM5 (Converted into BPM6 by IMF),Actual,,,,"Living Standards Measurement Study Survey (LSMS), 1998",,,,2000,2004,TM,TM,Turkmenistan,Turkmenistan
UGA,Republic of Uganda,Low income,Sub-Saharan Africa,IDA,HIPC,Ugandan shilling,2014,"Malaria Indicator Survey, 2018/19; National Panel Survey 2018-2019","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1960-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2016/2017,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015/16",,2008-2009,2000,2018,2008,UG,UG,Uganda,Uganda
UKR,Ukraine,Lower middle income,Europe & Central Asia,IBRD,,Ukrainian hryvnia,2020 (expected),"Multiple Indicator Cluster Survey, 2012",,Original chained constant price data are rescaled.,2016,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,,2014,2018,2010,UA,UA,Ukraine,Ukraine
UMC,Upper middle income,,,,,,,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2021 GNI per capita was between $4,256 and $13,205.",,,,,,,,,,,,,,,,,XT,XT,Upper middle income,Upper middle income
UZB,Republic of Uzbekistan,Lower middle income,Europe & Central Asia,Blend,,Uzbek som,1989,"Multiple Indicator Cluster Survey, 2006",,Original chained constant price data are rescaled.,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017 (Experimental survey for individual consumption expenditure by households), 2017 GDP PPPs and 2011 PPPs are imputed by a regression model",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2013",Yes,,,2018,2005,UZ,UZ,Uzbekistan,Uzbekistan
VUT,Republic of Vanuatu,Lower middle income,East Asia & Pacific,IDA,,Vanuatu vatu,2020 (expected),"Multiple Indicator Cluster Survey, 2007/08",,2006,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),2011 (Only for individual consumption expenditure by households),BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2010",,2007,,2011,,VU,VU,Vanuatu,Vanuatu
VNM,Socialist Republic of Vietnam,Lower middle income,East Asia & Pacific,IBRD,,Vietnamese dong,2019,"Multiple Indicator Cluster Survey, 2020/21",,2010,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",Yes,2016,2013,2017,2005,VN,VN,Vietnam,Vietnam
YEM,Republic of Yemen,Low income,Middle East & North Africa,IDA,,Yemeni rial,2004,"Demographic and Health Survey, 2013","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1990-2019. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1990,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),Annual estimation for 2011-2013,BPM5 (Converted into BPM6 by IMF),Estimate,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2014",,,2012,2015,2005,YE,RY,"Yemen, Rep.",Yemen
ZMB,Republic of Zambia,Low income,Sub-Saharan Africa,IDA,HIPC,New Zambian kwacha,2020 (expected),"Demographic and Health Survey, 2018","National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.",2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015",,,1994,2018,2002,ZM,ZM,Zambia,Zambia
ZWE,Republic of Zimbabwe,Lower middle income,Sub-Saharan Africa,Blend,,Zimbabwean Dollar,2012,"Multiple Indicator Cluster Survey, 2019","National Accounts data are reported in Zimbabwean Dollar (ZWL). Before 2017, one ZWL is set to be equal to one USD.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2017-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2012,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2011/12",,,,2018,2007,ZW,ZW,Zimbabwe,Zimbabwe
